ID,Qualifications,Employment_Type,Age,Pincode,Gender,Product_Code,Loan_Amount,LTV,Resident_Type,Net_salary,Final_Tier,Make_Code,Model_Description,Model_Variant,PAST_LOANS_ACTIVE,Decision
91317,HSC,SEP,26,783135,Male,MC,116878,73.79,O,40000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,DECLINED
91318,HSC,SAL,35,785625,Male,SC,113304,94.99,O,30000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,DECLINED
91319,GRAD,SEP,33,781307,Male,SC,117002,93.98,O,45000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91320,OTHERS,SEP,21,788806,Male,SC,100823,84.73,O,27000,06 Semi-Urban,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91321,HSC,SAL,28,785690,Male,SC,95794,79.18,O,35000,07 Rural,NTORQ,TVS NTORQ 125 DISC BSVI,125 CC,NO_PAST_LOANS,APPROVED
91322,OTHERS,NREGI,42,794105,Male,SC,104930,88.18,O,30000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91323,HSC,SEP,27,794104,Male,MC,103350,65.25,O,40000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
91324,OTHERS,SEP,23,782435,Male,MC,99614,80.33,O,25000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
91325,OTHERS,SAL,51,782470,Male,SC,91688,75.8,O,20000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91326,HSC,SEP,35,781366,Female,SC,114374,94.84,O,21000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91327,GRAD,SAL,25,783134,Female,SC,103751,83.33,O,29000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91328,GRAD,SAL,43,152026,Male,MC,66751,84.6,O,28500,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
91329,PG,SAL,23,206123,Male,MO,44082,84.01,O,26000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
91330,PG,SAL,33,570019,Male,SC,80000,63.02,O,40000,05 Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
91331,HSC,AGR,32,207249,Male,MC,66958,87.63,O,30000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
91332,HSC,NREGI,22,691322,Male,SC,109000,80.47,O,32000,06 Semi-Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91333,GRAD,SAL,45,695104,Female,SC,120377,88.86,O,16000,05 Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91334,PG,SEP,30,695043,Male,SC,89986,69.62,O,85000,05 Urban,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91335,UG,SAL,40,686587,Female,SC,74706,70.04,O,20000,06 Semi-Urban,JUPITER,JUPITER BSVI - SMW,110 CC,NO_PAST_LOANS,APPROVED
91336,HSC,NREGI,40,695102,Female,SC,113900,84.08,O,20000,05 Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91337,UG,SAL,32,571201,Male,SC,109349,89.12,R,50000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91338,PG,SAL,32,207302,Female,MO,49610,91.19,O,18000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91339,HSC,SEP,52,206126,Male,MO,65417,89.98,O,32000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91340,GRAD,SAL,24,282010,Male,MC,81667,70.28,R,40000,04 Metro,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
91341,OTHERS,SAL,29,283102,Female,MO,32269,59.3,O,28000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91342,SSC,SEP,59,756048,Female,MC,105000,89.74,O,20000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,NO_PAST_LOANS,DECLINED
91343,SSC,SAL,35,761123,Male,SC,88819,85.4,O,18000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
91344,HSC,NREGI,46,761124,Male,MO,70000,93.33,O,21000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91345,HSC,SEP,35,458110,Male,MC,77427,84.96,O,28500,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
91346,PG,SAL,25,453001,Male,MC,57655,47.25,R,35000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
91347,GRAD,SAL,53,452002,Male,SC,74347,63.93,O,35000,03 Large Metro,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
91348,UG,SAL,31,452009,Male,MC,67708,84.9,O,35000,06 Semi-Urban,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,DECLINED
91349,HSC,NREGI,31,206242,Male,MO,44997,84.11,O,28000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91350,UG,SEP,37,282007,Female,SC,100627,85.6,O,45000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
91351,OTHERS,SEP,28,281004,Male,MC,77737,66.85,O,26000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91352,HSC,SEP,46,445207,Female,SC,92655,87,O,28000,06 Semi-Urban,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
91353,GRAD,SAL,26,440014,Female,SC,75033,76.44,R,18000,05 Urban,JUPITER,JUPITER BSVI - SMW,110 CC,PAST_LOANS_ACTIVE,APPROVED
91354,GRAD,SEP,38,441222,Male,MC,92392,77.71,O,20000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91355,HSC,NREGI,30,444709,Male,SC,83439,85,O,30000,07 Rural,JUPITER,JUPITER BSVI - SMW,110 CC,PAST_LOANS_ACTIVE,APPROVED
91356,HSC,SAL,33,607402,Male,SC,79223,84.97,O,26000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
91357,GRAD,NREGI,26,605102,Male,EB,147863,86.87,O,35000,07 Rural,TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
91358,OTHERS,SAL,41,283203,Male,MC,110279,72.27,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
91359,HSC,SEP,29,781315,Male,MC,108600,87.58,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
91360,HSC,SAL,30,782127,Male,MC,73697,72.47,O,35000,07 Rural,RADEON,TVS RADEON BSVI DIGI DRUM DUAL TONE,RADEON,NO_PAST_LOANS,APPROVED
91361,GRAD,SAL,44,781028,Female,SC,78907,63.38,O,29000,05 Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91362,HSC,SEP,46,782143,Male,SC,97482,79.54,O,30000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91363,HSC,SEP,24,784153,Female,SC,96932,87.4,O,32000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
91364,HSC,SEP,22,794114,Male,MC,107997,84.53,O,25000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91365,OTHERS,SEP,27,781375,Male,SC,111672,93.84,O,25000,06 Semi-Urban,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91366,GRAD,SEP,27,794106,Male,SC,109059,88.67,O,35000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91367,OTHERS,SEP,26,799290,Male,MC,144073,93.86,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,DECLINED
91368,PG,NREGI,28,312001,Male,SC,77368,70.91,O,40000,07 Rural,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
91369,PG,SEP,27,312613,Male,MC,84684,73,O,35000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91370,GRAD,NREGI,45,781017,Male,MC,90932,84.98,O,30000,05 Urban,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,PAST_LOANS_ACTIVE,APPROVED
91371,HSC,SEP,25,788712,Female,SC,112500,91.22,O,31000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
91372,HSC,SEP,54,781326,Male,SC,110419,89.54,O,40000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91373,GRAD,SEP,46,784160,Female,SC,89762,74.24,O,35000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91374,SSC,SAL,58,575001,Male,SC,50640,40.48,O,45000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91375,GRAD,SAL,25,171209,Female,SC,86837,73.96,O,28000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
91376,HSC,SEP,43,176064,Female,SC,95128,82.29,O,32000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91377,HSC,SAL,27,175125,Male,SC,84184,72.8,O,26000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91378,GRAD,SEP,36,171102,Male,MC,52936,68.2,O,40000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
91379,GRAD,SEP,21,243201,Male,MC,81819,53.85,O,40000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
91380,OTHERS,AGR,48,517214,Female,MO,68379,81.31,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
91381,OTHERS,AGR,48,516172,Male,MO,63853,75.93,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
91382,OTHERS,AGR,30,518465,Male,MO,71660,85.12,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
91383,HSC,SAL,21,759103,Male,SC,93030,93.97,O,25500,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,DECLINED
91384,UG,SEP,27,360311,Male,SC,74000,63.34,O,45000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
91385,PG,SAL,26,281004,Male,MO,62135,84.54,O,35000,07 Rural,MOPEDS,TVS XL 100 COM ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
91386,PG,NREGI,24,206120,Male,MC,100904,61.83,O,40000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
91387,PG,SAL,42,281306,Male,MC,72263,94.59,O,28000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
91388,OTHERS,SAL,36,517501,Female,SC,96366,88.41,O,25000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
91389,SSC,NPP,21,515110,Female,SC,100000,79.93,O,29500,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,NO_PAST_LOANS,APPROVED
91390,OTHERS,SEP,37,515591,Female,MO,75298,89.53,O,45000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
91391,HSC,SEP,22,762013,Female,MC,118713,79.14,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
91392,HSC,SEP,29,757055,Male,MC,111044,94.94,O,19000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91393,HSC,NREGI,39,752081,Male,SC,61767,59.73,O,35000,06 Semi-Urban,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
91394,OTHERS,SEP,41,752066,Male,MO,67108,90.83,O,25000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91395,GRAD,AGR,44,518002,Male,MO,70485,83.73,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
91396,OTHERS,SEP,41,515671,Male,SC,111231,88.91,O,30000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
91397,GRAD,SEP,58,516227,Male,MC,116011,86.06,O,80000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91398,SSC,SAL,24,571439,Male,SC,105520,86,O,45000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91399,SSC,SAL,24,571251,Male,SC,117338,93.8,O,50000,06 Semi-Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,DECLINED
91400,PG,NREGI,56,281005,Male,MO,46520,85.51,O,35000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,DECLINED
91401,PG,SEP,37,281303,Male,MO,38103,70.04,O,35000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91402,PG,SAL,50,205152,Female,MO,59899,81.05,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91403,OTHERS,SAL,47,517152,Male,SC,91475,77.19,O,50000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
91404,GRAD,SEP,33,518010,Male,SC,67617,56.92,O,25000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
91405,SSC,SEP,53,756056,Male,MO,60800,83.29,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91406,OTHERS,SEP,21,762107,Male,MC,125499,81.76,O,38000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
91407,SSC,NREGI,49,757105,Male,MC,127677,79.8,O,25000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
91408,OTHERS,SEP,30,752027,Female,EB,125369,85,O,30000,07 Rural,TVS,TVS IQUBE UG,EBIKE,NO_PAST_LOANS,APPROVED
91409,GRAD,SEP,40,762022,Female,SC,104400,86.42,O,45000,06 Semi-Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91410,HSC,NREGI,36,573102,Male,MC,104774,83.82,O,45000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
91411,OTHERS,AGR,26,517425,Male,SC,99203,72.14,O,100000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,NO_PAST_LOANS,APPROVED
91412,SSC,SEP,42,756030,Female,MO,53441,73.21,O,19000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91413,SSC,NREGI,26,757079,Male,MC,104000,71.23,O,26000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
91414,HSC,SEP,23,757106,Male,MC,87736,71.62,O,25000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91415,HSC,AGR,46,573116,Male,MO,45679,67.27,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
91416,OTHERS,SEP,44,451551,Male,MC,122000,79.78,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
91417,GRAD,SEP,39,761002,Female,EB,121500,82.37,O,26000,07 Rural,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
91418,OTHERS,NREGI,34,752056,Female,EB,93053,63.13,O,25000,06 Semi-Urban,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
91419,HSC,SAL,40,761026,Male,SC,50500,42.8,O,35000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
91420,GRAD,SAL,39,752002,Male,EB,133807,90.72,O,27000,06 Semi-Urban,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
91421,HSC,SEP,26,756033,Male,MC,130903,89.97,O,19000,07 Rural,APACHE,APACHE RTR 160 2V BSVI DISC,160 DISC,PAST_LOANS_ACTIVE,APPROVED
91422,SSC,SEP,20,571430,Male,SC,65300,51.53,O,30000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
91423,OTHERS,SEP,33,571802,Male,SC,68700,59.87,O,58000,07 Rural,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,PAST_LOANS_ACTIVE,APPROVED
91424,UG,SAL,26,283125,Male,EB,103285,72.48,O,45000,07 Rural,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
91425,UG,SAL,23,452009,Male,MC,135362,88.52,O,30000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
91426,OTHERS,SAL,47,455223,Male,MC,71042,90.5,O,25000,06 Semi-Urban,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
91427,GRAD,SAL,48,452001,Male,MO,66370,90.21,O,20000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,DECLINED
91428,UG,AGR,53,450661,Male,SC,72192,70.78,O,30000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,APPROVED
91429,OTHERS,SEP,52,759016,Male,SC,75254,63.35,O,25000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91430,OTHERS,SAL,21,751002,Male,SC,79696,82.16,O,29000,05 Urban,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
91431,OTHERS,AGR,59,761107,Male,SC,78612,66.94,O,25000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91432,OTHERS,SEP,26,766102,Male,MC,59499,46.34,O,32000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
91433,HSC,SEP,56,756022,Male,MC,129196,89.6,O,18000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,PAST_LOANS_ACTIVE,APPROVED
91434,HSC,AGR,55,571122,Male,MO,55065,80.68,O,40000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91435,HSC,NPP,24,574233,Male,MC,109217,86.37,O,70000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91436,UG,SEP,53,574154,Female,MC,81172,64.8,O,28000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
91437,PG,SAL,39,281001,Female,SC,56651,61.35,O,30000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
91438,GRAD,SAL,54,282001,Male,MC,131097,86.3,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
91439,GRAD,SEP,21,440026,Male,SC,102000,89.28,O,20000,04 Metro,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
91440,HSC,SAL,26,445206,Male,MC,101061,85,O,36000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91441,GRAD,NREGI,31,755018,Male,SC,98271,83.28,O,36000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,NO_PAST_LOANS,APPROVED
91442,OTHERS,SAL,31,608501,Female,SC,90444,95.39,O,35000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
91443,OTHERS,AGR,51,606205,Male,MC,80944,83.86,O,30000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
91444,OTHERS,AGR,40,621115,Female,MO,59279,84.81,O,25000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
91445,OTHERS,NREGI,24,571108,Male,MO,54353,79.46,O,45000,05 Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91446,OTHERS,SEP,44,762104,Male,MC,93499,64.04,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
91447,OTHERS,SAL,22,560083,Male,MC,135345,83.29,R,35000,02 Megapolis (B),APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
91448,HSC,NREGI,34,560097,Male,SC,70165,74.01,O,45000,02 Megapolis (B),ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
91449,OTHERS,SEP,48,562117,Male,MO,47255,59.4,O,38000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
91450,SSC,SAL,39,605106,Female,SC,73900,78.91,O,28000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
91451,OTHERS,SAL,22,456661,Male,MC,61158,78.01,O,38000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
91452,GRAD,SAL,22,452010,Male,MC,116396,78.09,O,30000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,PAST_LOANS_ACTIVE,DECLINED
91453,PG,SEP,38,452010,Female,SC,110464,91.27,O,60000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
91454,OTHERS,NREGI,42,605702,Female,SC,69294,73.33,O,20000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
91455,HSC,SEP,42,606207,Male,MO,58000,74.36,O,60000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
91456,GRAD,SAL,25,755026,Male,SC,60500,51.84,O,30000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91457,GRAD,SAL,22,607804,Male,SC,46303,54.7,O,25000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
91458,OTHERS,NREGI,34,607302,Male,SC,100833,94.24,O,35000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
91459,HSC,SEP,22,606305,Male,SC,60500,47.98,O,50000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
91460,SSC,SAL,53,606603,Female,SC,110768,89.34,O,30000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91461,OTHERS,AGR,46,604408,Male,SC,106362,85.78,O,25000,06 Semi-Urban,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
91462,GRAD,SAL,28,451331,Male,MC,102500,83.95,O,40000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
91463,OTHERS,SAL,38,465449,Male,MO,63064,80.37,O,32000,06 Semi-Urban,MOPEDS,TVS XL 100 COM ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
